id,product_attribute_id,value,value_number
188,39,"2G, 3G, 4G LTE, 5G",0
189,40,240 г,0
190,33,128 ГБ,0
191,34,white,0
192,35,6.7,6.7
193,36,4323 мА·ч,0
194,37,Apple A16 Bionic,0
195,38,iOS,0
196,39,"2G, 3G, 4G LTE, 5G",0
197,40,240 г,0
198,33,256 ГБ,0
199,34,white,0
200,35,6.7,6.7
201,36,4323 мА·ч,0
202,37,Apple A16 Bionic,0
203,38,iOS,0
204,39,"2G, 3G, 4G LTE, 5G",0
205,40,240 г,0
206,33,128 ГБ,0
207,34,green,0
208,35,6.8,6.8
209,36,5000 мА·ч,0
210,37,Qualcomm Snapdragon 8 Gen2,0
211,38,Android,0
212,39,"4G LTE, 5G",0
213,40,234 г,0
214,33,256 ГБ,0
215,34,green,0
216,35,6.8,6.8
217,36,5000 мА·ч,0
218,37,Qualcomm Snapdragon 8 Gen2,0
219,38,Android,0
220,39,"4G LTE, 5G",0
221,40,234 г,0
222,33,128 ГБ,0
223,34,white,0
224,35,6.8,6.8
225,36,5000 мА·ч,0
226,37,Qualcomm Snapdragon 8 Gen2,0
227,38,Android,0
228,39,"4G LTE, 5G",0
229,40,234 г,0
230,33,256 ГБ,0
231,34,white,0
232,35,6.8,6.8
233,36,5000 мА·ч,0
234,37,Qualcomm Snapdragon 8 Gen2,0
235,38,Android,0
236,39,"4G LTE, 5G",0
237,40,234 г,0
238,33,64 ГБ,0
239,34,blue,0
240,35,6.5,6.5
241,36,5000 мА·ч,0
242,37,MediaTek Helio G25,0
243,38,Android,0
244,39,"2G, 3G, 4G LTE",0
245,40,194 г,0
246,33,128 ГБ,0
247,34,blue,0
248,35,6.5,6.5
249,36,5000 мА·ч,0
250,37,MediaTek Helio G25,0
251,38,Android,0
252,39,"2G, 3G, 4G LTE",0
253,40,194 г,0
254,33,64 ГБ,0
255,34,white,0
256,35,6.5,6.5
257,36,5000 мА·ч,0
258,37,MediaTek Helio G25,0
259,38,Android,0
260,39,"2G, 3G, 4G LTE",0
261,40,194 г,0
262,33,128 ГБ,0
263,34,white,0
264,35,6.5,6.5
265,36,5000 мА·ч,0
266,37,MediaTek Helio G25,0
267,38,Android,0
268,39,"2G, 3G, 4G LTE",0
269,40,194 г,0
